x,y
365,51.447
731,31.645
1096,26.833
1461,23.34
1826,17.452
2192,15.937
2557,11.299
2922,9.921
3287,8.866
3653,9.189
4018,5.904
4383,5.011
4748,5.589
5114,5.781
5479,6.164
5844,5.605
6209,4.556
6575,3.607
6940,1.915
7305,3.433
7670,4.411
8036,3.732
8401,2.786
8766,3.307
9131,3.301
9497,2.847
9862,2.455
10227,2.647
10592,2.46
10714,2.129
